accuracy,loss,precision,recall,f1,roc_auc,model,combined_score,rank
0.819672131147541,0.447143942325997,0.8055555555555556,0.8787878787878788,0.8405797101449275,0.8755411255411255,SVM,0.810787884434326,1
0.7868852459016393,0.538080117942811,0.75,0.9090909090909091,0.821917808219178,0.8170995670995671,Neural Network,0.8046898343972547,2
0.7868852459016393,0.4573226750559334,0.7777777777777778,0.8484848484848485,0.8115942028985508,0.8820346320346321,Logistic Regression,0.779365466786724,3
0.7704918032786885,0.44811855679085494,0.7714285714285715,0.8181818181818182,0.7941176470588235,0.8831168831168831,Random Forest,0.7566127081852083,4
0.7868852459016393,1.5102577965119444,0.7777777777777778,0.8484848484848485,0.8115942028985508,0.8777056277056277,KNN,0.6740719546411229,5
0.6557377049180327,0.6680427634936434,0.7,0.6363636363636364,0.6666666666666666,0.7159090909090908,Decision Tree,0.5825250828160604,6
